time,latitude,longitude_deg_east,u_mean_ms,v_mean_ms,uv_mag_mean_ms
2006-08-17T12:00:00Z,37.5,237.5,3.0930905,-4.7407856,5.8789177
2006-09-17T00:00:00Z,37.5,237.5,1.6734897,-4.4668517,5.561347
2006-10-17T12:00:00Z,37.5,237.5,0.3768049,-2.9724553,4.243738
2006-11-17T00:00:00Z,37.5,237.5,2.8140798,-4.46486,6.678278
2006-12-17T12:00:00Z,37.5,237.5,1.7539549,-2.1151297,6.1608615
2007-01-17T12:00:00Z,37.5,237.5,0.09024721,-5.5576715,6.6283007
2007-02-16T00:00:00Z,37.5,237.5,3.8723536,-2.1529467,6.932353
2007-03-17T12:00:00Z,37.5,237.5,2.7320879,-6.01738,7.369992
2007-04-17T00:00:00Z,37.5,237.5,4.493613,-6.886448,8.887811
2007-05-17T12:00:00Z,37.5,237.5,3.915144,-6.6533036,8.2009115
2007-06-17T00:00:00Z,37.5,237.5,3.6721053,-6.672552,7.8793755
2007-07-17T12:00:00Z,37.5,237.5,3.1942046,-4.627832,5.8469152
2007-08-17T12:00:00Z,37.5,237.5,2.384596,-3.6151135,4.7016954
2007-09-17T00:00:00Z,37.5,237.5,1.4834138,-3.537602,4.82069
2007-10-17T12:00:00Z,37.5,237.5,1.5788329,-3.2751741,5.4808707
2007-11-17T00:00:00Z,37.5,237.5,0.014938289,-4.395002,5.2671814
2007-12-17T12:00:00Z,37.5,237.5,1.2875787,-2.8121583,6.63314
2008-01-17T12:00:00Z,37.5,237.5,-0.1296863,1.2566594,7.459398
2008-02-16T12:00:00Z,37.5,237.5,1.7304459,-3.0078008,7.0570817
2008-03-17T12:00:00Z,37.5,237.5,2.6488447,-7.3820643,8.301054
2008-04-17T00:00:00Z,37.5,237.5,2.8935165,-6.567482,7.818549
2008-05-17T12:00:00Z,37.5,237.5,2.4975867,-5.802715,7.036415
2008-06-17T00:00:00Z,37.5,237.5,1.7835135,-6.8648944,7.740181
2008-07-17T12:00:00Z,37.5,237.5,2.5154052,-4.4256496,5.3863187
2008-08-17T12:00:00Z,37.5,237.5,2.330791,-4.4720736,5.3822765
2008-09-17T00:00:00Z,37.5,237.5,0.501099,-2.9013677,3.6292377
2008-10-17T12:00:00Z,37.5,237.5,-0.22607547,-4.3429976,6.1045284
2008-11-17T00:00:00Z,37.5,237.5,0.09240113,-2.853545,5.935908
2008-12-17T12:00:00Z,37.5,237.5,1.3241448,-1.7849363,5.602619
2009-01-17T12:00:00Z,37.5,237.5,-1.6671672,-3.3637497,5.5279694
2009-02-16T00:00:00Z,37.5,237.5,1.304896,1.9606198,6.390549
2009-03-17T12:00:00Z,37.5,237.5,2.281745,-4.7090406,7.8582006
2009-04-17T00:00:00Z,37.5,237.5,2.814358,-5.9858074,7.5165715
2009-05-17T12:00:00Z,37.5,237.5,2.49853,-5.22745,6.8543057
2009-06-17T00:00:00Z,37.5,237.5,2.456485,-3.4516587,4.6297917
2009-07-17T12:00:00Z,37.5,237.5,2.8267498,-4.572986,5.61086
2009-08-17T12:00:00Z,37.5,237.5,2.1039248,-3.9387097,4.8681917
2009-09-17T00:00:00Z,37.5,237.5,1.9640429,-4.27834,5.283561
2009-10-17T12:00:00Z,37.5,237.5,1.3233514,-3.4816241,6.254429
2009-11-17T00:00:00Z,37.5,237.5,-0.48106694,-2.396146,5.446601
2009-12-17T12:00:00Z,37.5,237.5,-0.81744105,1.8408799,5.1764407
2010-01-17T12:00:00Z,37.5,237.5,-0.4509807,4.7587557,6.8000193
2010-02-16T00:00:00Z,37.5,237.5,0.69337153,1.4733479,4.5399604
2010-03-17T12:00:00Z,37.5,237.5,2.5563774,-2.0725992,5.8259506
2010-04-17T00:00:00Z,37.5,237.5,4.259099,-3.7663832,7.538106
2010-05-17T12:00:00Z,37.5,237.5,3.520523,-6.166277,8.086443
2010-06-17T00:00:00Z,37.5,237.5,3.4951441,-6.6407743,7.8909445
2010-07-17T12:00:00Z,37.5,237.5,4.338252,-5.258859,7.0118356
2010-08-17T12:00:00Z,37.5,237.5,3.9753282,-5.2050943,6.948372
2010-09-17T00:00:00Z,37.5,237.5,1.3261093,-4.580801,5.4736567
2010-10-17T12:00:00Z,37.5,237.5,0.9711902,-1.667835,4.468524
2010-11-17T00:00:00Z,37.5,237.5,0.4405328,-2.4462936,4.6481137
2010-12-17T12:00:00Z,37.5,237.5,0.57719207,1.3528969,4.9827614
2011-01-17T12:00:00Z,37.5,237.5,-1.1828103,-2.263004,4.9426847
2011-02-16T00:00:00Z,37.5,237.5,0.3553785,-0.9359005,5.5016303
2011-03-17T12:00:00Z,37.5,237.5,1.8699452,1.0384701,5.7815294
2011-04-17T00:00:00Z,37.5,237.5,1.8142583,-4.8944244,6.1471114
2011-05-17T12:00:00Z,37.5,237.5,3.3472831,-4.545429,7.1762137
